CityCde|CountyStateCde|CityNameTxt
"0960"|"83"|"Goodlettsville"
"0962"|"28"|"Goodspring"
"0970"|"80"|"Gordonsville"
"0978"|"41"|"Graham"
"0980"|"35"|"Grand Junction"
"0981"|"72"|"Grandview"
"0983"|"44"|"Granville"
"0985"|"90"|"Gray"
"0990"|"72"|"Graysville"
"0998"|"53"|"Greenback"
"1000"|"74"|"Greenbrier"
"1010"|"30"|"Greeneville"
"1020"|"92"|"Greenfield"
"1032"|"25"|"Grimsley"
"1033"|"31"|"Gruetli-Laager"
"1034"|"58"|"Guild"
"1035"|"55"|"Guys"
"1037"|"07"|"Habersham"
"1040"|"49"|"Halls"
"1045"|"60"|"Hampshire"
"1050"|"10"|"Hampton"
"1060"|"73"|"Harriman"
"1063"|"33"|"Harrison"
"1065"|"13"|"Harrogate"
"1067"|"15"|"Hartford"
"1070"|"85"|"Hartsville"
"1075"|"47"|"Heiskell"
"1077"|"76"|"Helenwood"
"1080"|"12"|"Henderson"
"1085"|"83"|"Hendersonville"
"1090"|"49"|"Henning"
"1100"|"40"|"Henry"
"1105"|"19"|"Hermitage"
"1106"|"80"|"Hickman"
"1107"|"35"|"Hickory Valley"
"1108"|"24"|"Hickory Withe"
"1120"|"67"|"Hilham"
"1121"|"16"|"Hillsboro"
"1122"|"33"|"Hixson"
"1130"|"51"|"Hohenwald"
"1135"|"03"|"Holladay"
"1140"|"09"|"Hollow Rock"
"1145"|"59"|"Holtland"
"1150"|"66"|"Hornbeak"
"1160"|"35"|"Hornsby"
"1165"|"52"|"Howell"
"1170"|"27"|"Humboldt"
"1180"|"09"|"Huntingdon"
"1190"|"26"|"Huntland"
"1193"|"76"|"Huntsville"
"1189"|"39"|"Huron"
"1191"|"43"|"Hurricane Mills"
"1197"|"27"|"Idlewild"
"1195"|"81"|"Indian Mound"
"1192"|"19"|"Inglewood"
"1194"|"50"|"Iron City"
"1194"|"91"|"Iron City"
"1196"|"70"|"Isabella"
"1199"|"12"|"Jacks Creek"
"1198"|"07"|"Jacksboro"
"1200"|"57"|"Jackson"
"1210"|"25"|"Jamestown"
"1220"|"58"|"Jasper"
"1230"|"45"|"Jefferson City"
"1240"|"07"|"Jellico"
"1245"|"19"|"Joelton"
"1250"|"10"|"Johnson City"
"1250"|"90"|"Johnson City"
"1260"|"90"|"Jonesborough"
"1267"|"52"|"Kelso"
"1270"|"27"|"Kenton"
"1270"|"66"|"Kenton"
"1272"|"58"|"Kimball"
"1274"|"51"|"Kimmins"
"1280"|"37"|"Kingsport"
"1280"|"82"|"Kingsport"
"1290"|"73"|"Kingston"
"1291"|"11"|"Kingston Springs"
"1300"|"47"|"Knoxville"
"1303"|"78"|"Kodak"
"1305"|"34"|"Kyles Ford"
"1330"|"24"|"La Grange"
"1309"|"24"|"Laconia"
"1310"|"56"|"Lafayette"
"1320"|"07"|"LaFollette"
"1348"|"79"|"Lakeland"
"1349"|"33"|"Lakesite"
"1341"|"19"|"Lakewood"
"1342"|"80"|"Lancaster"
"1343"|"65"|"Lancing"
"1339"|"23"|"Lane"
"1344"|"75"|"Lascassas"
"1346"|"46"|"Laurel Bloomery"
"1345"|"75"|"Lavergne"
"1347"|"09"|"Lavinia"
"1350"|"50"|"Lawrenceburg"
"1354"|"09"|"Leach"
"1356"|"55"|"Leapwood"
"1360"|"95"|"Lebanon"
"1370"|"53"|"Lenoir City"
"1371"|"23"|"Lenox"
"1374"|"50"|"Leoma"
"1380"|"59"|"Lewisburg"
"1390"|"39"|"Lexington"
"1400"|"21"|"Liberty"
"1407"|"90"|"Limestone"
"1410"|"68"|"Linden"
"1420"|"67"|"Livingston"
"1427"|"68"|"Lobelville"
"1428"|"13"|"Lone Mountain"
"1430"|"82"|"Long Island"
"1440"|"33"|"Lookout Mountain"
"1450"|"50"|"Loretto"
"1460"|"53"|"Loudon"
"1464"|"05"|"Louisville"
"1465"|"32"|"Lowland"
"1462"|"79"|"Lucy"
"1466"|"33"|"Lupton City"
"1463"|"39"|"Luray"
"1468"|"87"|"Luttrell"
"1467"|"91"|"Lutts"
"1469"|"41"|"Lyles"
"1470"|"64"|"Lynchburg"
"1480"|"82"|"Lynn Garden"
"1490"|"28"|"Lynnville"
"1533"|"24"|"Macon"
"1535"|"19"|"Madison"
"1540"|"62"|"Madisonville"
"1547"|"57"|"Malesus"
"1550"|"16"|"Manchester"
"1555"|"40"|"Mansfield"
"1560"|"92"|"Martin"
"1570"|"05"|"Maryville"
"1577"|"47"|"Mascot"
"1580"|"84"|"Mason"
"1590"|"17"|"Maury City"
"1594"|"18"|"Mayland"
"1595"|"87"|"Maynardville"
"1495"|"37"|"McCloud"
"1497"|"06"|"McDonald"
"1500"|"43"|"McEwen"
"1510"|"09"|"McKenzie"
"1510"|"40"|"McKenzie"
"1510"|"92"|"McKenzie"
"1520"|"09"|"McLemoresville"
"1530"|"89"|"McMinnville"
"1532"|"55"|"McNairy"
"1600"|"27"|"Medina"
"1610"|"57"|"Medon"
"1620"|"79"|"Memphis"
"1622"|"05"|"Mentor"
"1625"|"57"|"Mercer"
"1627"|"55"|"Michie"
"1630"|"35"|"Middleton"
"1634"|"30"|"Midway"
"1640"|"27"|"Milan"
"1650"|"10"|"Miligan Collage"
"1646"|"12"|"Milledgeville"
"1646"|"36"|"Milledgeville"
"1646"|"55"|"Milledgeville"
"1648"|"74"|"MILLERSVILLE"
"1648"|"83"|"Millersville"
"1660"|"79"|"Millington"
"1662"|"75"|"Milton"
"1665"|"28"|"Minor Hill"
"1667"|"23"|"Miston"
"1670"|"83"|"Mitchellville"
"1675"|"30"|"Mohawk"
"1678"|"80"|"Monoville"
"1676"|"67"|"Monroe"
"1677"|"31"|"Monteagle"
"1677"|"58"|"Monteagle"
"1680"|"71"|"Monterey"
"1682"|"37"|"Mooresburg"
"1684"|"59"|"Mooresville"
"1686"|"07"|"Morley"
"1688"|"36"|"Morris Chapel"
"1690"|"89"|"Morrison"
"1700"|"32"|"Morristown"
"1710"|"24"|"Moscow"
"1715"|"30"|"Mosheim"
"1716"|"14"|"Moss"
"1726"|"37"|"Mount Carmel"
"1727"|"95"|"Mount Juliet"
"1730"|"60"|"Mount Pleasant"
"1732"|"62"|"Mount Vernon"
"1720"|"46"|"Mountain City"
"1735"|"52"|"Mulberry"
"1740"|"84"|"Munford"
"1750"|"75"|"Murfreesboro"
"1760"|"19"|"Nashville"
"1767"|"46"|"Neva"
"1771"|"37"|"New Canton"
"1773"|"83"|"New Deal"
"1777"|"58"|"New Hope"
"1775"|"43"|"New Johnsonville"
"1774"|"45"|"New Market"
"1776"|"80"|"New Middleton"
"1785"|"76"|"New River"
"1795"|"13"|"New Tazewell"
"1770"|"23"|"Newbern"
"1772"|"07"|"Newcomb"
"1780"|"15"|"Newport"
"1800"|"54"|"Niota"
"1808"|"94"|"Nolensville"
"1809"|"95"|"Norene"
"1811"|"76"|"Norma"
"1810"|"02"|"Normandy"
"1820"|"01"|"Norris"
"0000"|"01"|"Not in City Limit"
"0000"|"02"|"Not in City Limit"
"0000"|"03"|"Not in City Limit"
"0000"|"04"|"Not in City Limit"
"0000"|"05"|"Not in City Limit"
"0000"|"06"|"Not in City Limit"
"0000"|"07"|"Not in City Limit"
"0000"|"08"|"Not in City Limit"
"0000"|"09"|"Not in City Limit"
"0000"|"10"|"Not in City Limit"
"0000"|"11"|"Not in City Limit"
"0000"|"12"|"Not in City Limit"
"0000"|"13"|"Not in City Limit"
"0000"|"14"|"Not in City Limit"
"0000"|"15"|"Not in City Limit"
"0000"|"16"|"Not in City Limit"
"0000"|"17"|"Not in City Limit"
"0000"|"18"|"Not in City Limit"
"0000"|"19"|"Not in City Limit"
"0000"|"20"|"Not in City Limit"
"0000"|"21"|"Not in City Limit"
"0000"|"22"|"Not in City Limit"
"0000"|"23"|"Not in City Limit"
"0000"|"24"|"Not in City Limit"
"0000"|"25"|"Not in City Limit"
"0000"|"26"|"Not in City Limit"
"0000"|"27"|"Not in City Limit"
"0000"|"28"|"Not in City Limit"
"0000"|"29"|"Not in City Limit"
"0000"|"30"|"Not in City Limit"
"0000"|"31"|"Not in City Limit"
"0000"|"32"|"Not in City Limit"
"0000"|"33"|"Not in City Limit"
"0000"|"34"|"Not in City Limit"
"0000"|"35"|"Not in City Limit"
"0000"|"36"|"Not in City Limit"
"0000"|"37"|"Not in City Limit"
"0000"|"38"|"Not in City Limit"
"0000"|"39"|"Not in City Limit"
"0000"|"40"|"Not in City Limit"
"0000"|"41"|"Not in City Limit"
"0000"|"42"|"Not in City Limit"
"0000"|"43"|"Not in City Limit"
"0000"|"44"|"Not in City Limit"
"0000"|"45"|"Not in City Limit"
"0000"|"46"|"Not in City Limit"
"0000"|"47"|"Not in City Limit"
"0000"|"48"|"Not in City Limit"
"0000"|"49"|"Not in City Limit"
"0000"|"50"|"Not in City Limit"
"0000"|"51"|"Not in City Limit"
"0000"|"52"|"Not in City Limit"
"0000"|"53"|"Not in City Limit"
"0000"|"54"|"Not in City Limit"
"0000"|"55"|"Not in City Limit"
"0000"|"56"|"Not in City Limit"
"0000"|"57"|"Not in City Limit"
"0000"|"58"|"Not in City Limit"
"0000"|"59"|"Not in City Limit"
"0000"|"60"|"Not in City Limit"
"0000"|"61"|"Not in City Limit"
"0000"|"62"|"Not in City Limit"
"0000"|"63"|"Not in City Limit"
"0000"|"64"|"Not in City Limit"
"0000"|"65"|"Not in City Limit"
"0000"|"66"|"Not in City Limit"
"0000"|"67"|"Not in City Limit"
"0000"|"68"|"Not in City Limit"
"0000"|"69"|"Not in City Limit"
"0000"|"70"|"Not in City Limit"
"0000"|"71"|"Not in City Limit"
"0000"|"72"|"Not in City Limit"
"0000"|"73"|"Not in City Limit"
"0000"|"74"|"Not in City Limit"
"0000"|"75"|"Not in City Limit"
"0000"|"76"|"Not in City Limit"
"0000"|"77"|"Not in City Limit"
"0000"|"78"|"Not in City Limit"
"0000"|"79"|"Not in City Limit"
"0000"|"80"|"Not in City Limit"
"0000"|"81"|"Not in City Limit"
"0000"|"82"|"Not in City Limit"
"0000"|"83"|"Not in City Limit"
"0000"|"84"|"Not in City Limit"
"0000"|"85"|"Not in City Limit"
"0000"|"86"|"Not in City Limit"
"0000"|"87"|"Not in City Limit"
"0000"|"88"|"Not in City Limit"
"0000"|"89"|"Not in City Limit"
"0000"|"90"|"Not in City Limit"
"0000"|"91"|"Not in City Limit"
"0000"|"92"|"Not in City Limit"
"0000"|"93"|"Not in City Limit"
"0000"|"94"|"Not in City Limit"
"0000"|"95"|"Not in City Limit"
"1825"|"41"|"Nunnelly"
"1835"|"19"|"Oak Hill"
"1850"|"01"|"Oak Ridge"
"1850"|"73"|"Oak Ridge"
"1830"|"65"|"Oakdale"
"1834"|"57"|"Oakfield"
"1840"|"24"|"Oakland"
"1860"|"66"|"Obion"
"1862"|"70"|"Ocoee"
"1865"|"19"|"Old Hickory"
"1863"|"70"|"Oldfort"
"1866"|"36"|"Olivehill"
"1870"|"01"|"Oliver Springs"
"1870"|"65"|"Oliver Springs"
"1870"|"73"|"Oliver Springs"
"1880"|"76"|"Oneida"
"1882"|"41"|"Only"
"1885"|"33"|"Ooltewah"
"1888"|"74"|"Orlinda"
"1890"|"58"|"Orme"
"9997"|"01"|"OTHER"
"9997"|"02"|"OTHER"
"9997"|"03"|"OTHER"
"9997"|"04"|"OTHER"
"9997"|"05"|"OTHER"
"9997"|"06"|"OTHER"
"9997"|"07"|"OTHER"
"9997"|"08"|"OTHER"
"9997"|"09"|"OTHER"
"9997"|"10"|"OTHER"
"9997"|"11"|"OTHER"
"9997"|"12"|"OTHER"
"9997"|"13"|"OTHER"
"9997"|"14"|"OTHER"
"9997"|"15"|"OTHER"
"9997"|"16"|"OTHER"
"9997"|"17"|"OTHER"
"9997"|"18"|"OTHER"
"9997"|"19"|"OTHER"
"9997"|"20"|"OTHER"
"9997"|"21"|"OTHER"
"9997"|"22"|"OTHER"
"9997"|"23"|"OTHER"
"9997"|"24"|"OTHER"
"9997"|"25"|"OTHER"
"9997"|"26"|"OTHER"
"9997"|"27"|"OTHER"
"9997"|"28"|"OTHER"
"9997"|"29"|"OTHER"
"9997"|"30"|"OTHER"
"9997"|"31"|"OTHER"
"9997"|"32"|"OTHER"
"9997"|"33"|"OTHER"
"9997"|"34"|"OTHER"
"9997"|"35"|"OTHER"
"9997"|"36"|"OTHER"
"9997"|"37"|"OTHER"
"9997"|"38"|"OTHER"
"9997"|"39"|"OTHER"
"9997"|"40"|"OTHER"
"9997"|"41"|"OTHER"
"9997"|"42"|"OTHER"
"9997"|"43"|"OTHER"
"9997"|"44"|"OTHER"
"9997"|"45"|"OTHER"
"9997"|"46"|"OTHER"
"9997"|"47"|"OTHER"
"9997"|"48"|"OTHER"
"9997"|"49"|"OTHER"
"9997"|"50"|"OTHER"
"9997"|"51"|"OTHER"
"9997"|"52"|"OTHER"
"9997"|"53"|"OTHER"
"9997"|"54"|"OTHER"
"9997"|"55"|"OTHER"
"9997"|"56"|"OTHER"
"9997"|"57"|"OTHER"
"9997"|"58"|"OTHER"
"9997"|"59"|"OTHER"
"9997"|"60"|"OTHER"
"9997"|"61"|"OTHER"
"9997"|"62"|"OTHER"
"9997"|"63"|"OTHER"
"9997"|"64"|"OTHER"
"9997"|"65"|"OTHER"
"9997"|"66"|"OTHER"
"9997"|"67"|"OTHER"
"9997"|"68"|"OTHER"
"9997"|"69"|"OTHER"
"9997"|"70"|"OTHER"
"9997"|"71"|"OTHER"
"9997"|"72"|"OTHER"
"9997"|"73"|"OTHER"
"9997"|"74"|"OTHER"
"9997"|"75"|"OTHER"
"9997"|"76"|"OTHER"
"9997"|"77"|"OTHER"
"9997"|"78"|"OTHER"
"9997"|"79"|"OTHER"
"9997"|"80"|"OTHER"
"9997"|"81"|"OTHER"
"9997"|"82"|"OTHER"
"9997"|"83"|"OTHER"
"9997"|"84"|"OTHER"
"9997"|"85"|"OTHER"
"9997"|"86"|"OTHER"
"9997"|"87"|"OTHER"
"9997"|"88"|"OTHER"
"9997"|"89"|"OTHER"
"9997"|"90"|"OTHER"
"9997"|"91"|"OTHER"
"9997"|"92"|"OTHER"
"9997"|"93"|"OTHER"
"9997"|"94"|"OTHER"
"9997"|"95"|"OTHER"
"1892"|"18"|"Ozone"
"1893"|"25"|"Pall Mall"
"1900"|"31"|"Palmer"
"1902"|"92"|"Palmersville"
"1905"|"63"|"Palmyra"
"1910"|"40"|"Paris"
"1911"|"39"|"Parkers Crossroads"
"1912"|"70"|"Parksville"
"1920"|"15"|"Parrottsville"
"1930"|"20"|"Parsons"
"1933"|"11"|"Pegram"
"1935"|"31"|"Pelham"
"1936"|"37"|"Persia"
"1940"|"52"|"Petersburg"
"1940"|"59"|"Petersburg"
"1943"|"65"|"Petros"
"1944"|"53"|"Philadelphia"
"1945"|"36"|"Pickwick Village"
"1948"|"78"|"Pigeon Forge"
"1950"|"04"|"Pikeville"
"1953"|"82"|"Piney Flats"
"1954"|"57"|"Pinson"
"1956"|"07"|"Pioneer"
"1957"|"24"|"Piperton"
"1959"|"78"|"Pittman Center"
"1958"|"05"|"Plainfield"
"1961"|"87"|"Plainview"
"1960"|"18"|"Pleasant Hill"
"1964"|"80"|"Pleasant Shade"
"1965"|"11"|"Pleasant View"
"1963"|"41"|"Pleasantville"
"1966"|"35"|"Pocahontas"
"1970"|"83"|"Portland"
"1972"|"70"|"Postelle"
"1971"|"29"|"Powder Springs"
"1973"|"47"|"Powell"
"1974"|"58"|"Powells Crossroads"
"1977"|"37"|"Pressmens Home"
"1976"|"41"|"Primm Springs"
"1978"|"28"|"Prospect"
"1979"|"19"|"Providence"
"1981"|"13"|"Pruden"
"1980"|"28"|"Pulaski"
"1990"|"40"|"Puryear"
"1992"|"93"|"Quebeck"
"1993"|"79"|"Raleigh"
"1994"|"55"|"Ramer"
"1995"|"08"|"Readyville"
"1996"|"39"|"Reagan"
"1999"|"33"|"Red Bank"
"1997"|"56"|"Red Boiling Springs"
"1998"|"70"|"Reliance"
"2001"|"84"|"Reverie"
"2000"|"30"|"Rheatown"
"2005"|"54"|"Riceville"
"2010"|"58"|"Richard City"
"2012"|"67"|"Rickman"
"2015"|"80"|"Riddleton"
"2020"|"48"|"Ridgely"
"2030"|"33"|"Ridgeside"
"2040"|"19"|"Ridgetop"
"2040"|"74"|"Ridgetop"
"2050"|"49"|"Ripley"
"2060"|"66"|"Rives"
"2063"|"10"|"Roan Mountain"
"2064"|"76"|"Robbins"
"2065"|"89"|"Rock Island"
"2066"|"05"|"Rockford"
"2068"|"75"|"Rockvale"
"2070"|"73"|"Rockwood"
"1340"|"01"|"Rocky Top"
"2080"|"37"|"Rogersville"
"2085"|"79"|"Rosemark"
"2090"|"24"|"Rossville"
"2093"|"65"|"Rugby"
"2095"|"32"|"Russellville"
"2100"|"27"|"Rutherford"
"2105"|"29"|"Rutledge"
"2106"|"26"|"Saint Andrews"
"2111"|"63"|"Saint Bethlehem"
"2107"|"50"|"Saint Joseph"
"2108"|"33"|"Sale Creek"
"2109"|"36"|"Saltillo"
"2110"|"66"|"Samburg"
"2115"|"60"|"Santa Fe"
"2120"|"39"|"Sardis"
"2130"|"35"|"Saulsbury"
"2140"|"36"|"Savannah"
"2150"|"20"|"Scotts Hill"
"2150"|"39"|"Scotts Hill"
"2160"|"55"|"Selmer"
"2165"|"58"|"Sequatchie"
"2170"|"78"|"Sevierville"
"2180"|"26"|"Sewanee"
"2183"|"75"|"Sewart AFB"
"2184"|"78"|"Seymour"
"2185"|"46"|"Shady Valley"
"2190"|"92"|"Sharon"
"2195"|"87"|"Sharps Chapel"
"2197"|"13"|"Shawanee"
"2200"|"02"|"Shelbyville"
"2207"|"33"|"Shepherd"
"2206"|"26"|"Sherwood"
